eventID,occurrenceID,measurementValue,measurementType,measurementTypeID,measurementUnit,measurementUnitID
WS17275:stnLK:500um:2017-10-10,,bongo nets,bongo nets,http://vocab.nerc.ac.uk/collection/L22/current/NETT0176/,,
WS17275:stnLK:500um:2017-10-10,,247.205,Length of sampling track,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,metres,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
WS17275:stnLK:500um:2017-10-10,,0.5,Sampling device aperture diameter,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100012/,metres,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
WS17275:stnLK:500um:2017-10-10,,0.785398163397448,Sampling device aperture surface area,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100017/,per square metre,http://vocab.nerc.ac.uk/collection/P06/current/PMSQ/
WS17275:stnLK:500um:2017-10-10,,0,flow meters,http://vocab.nerc.ac.uk/collection/L05/current/388/,,
WS17275:stnLK:500um:2017-10-10,,1009,flow meters,http://vocab.nerc.ac.uk/collection/L05/current/388/,,
WS17275:stnLK:500um:2017-10-10,,0.5,Sub-sampling coefficient,http://vocab.nerc.ac.uk/collection/P01/current/SSAMPC01/,Dimensionless,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
WS17275:stnLK:500um:2017-10-10,,48.5385882456665,Sample volume (filtration) by measuring cylinder,http://vocab.nerc.ac.uk/collection/P01/current/VOLFMCXX/,per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/PCUM/
WS17275:stnLK:500um:2017-10-10,,5,Sample Duration,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,Minutes,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/
WS17275:stnLK:500um:2017-10-10,,1.5,Speed of towing platform,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,Knots (nautical miles per hour),http://vocab.nerc.ac.uk/collection/P06/current/UKNT/
WS17275:stnLK:500um:2017-10-10,,0.824016666666667,Speed,http://vocab.nerc.ac.uk/collection/S06/current/S0600152/,Metres per second,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
WS17275:stnLK:500um:2017-10-10,,500,Sampling net mesh size,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100015/,Micrometres,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/
WS17275:stnLK:500um:2017-10-10,,microscopy,microscopy,http://vocab.nerc.ac.uk/collection/S04/current/S0419/,,
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Appendicularian:NA,2.74695532260844,Zooplankton taxonomy-related abundance per unit volume of the water column,http://vocab.nerc.ac.uk/collection/P02/current/ZATX/,Number per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Appendicularian:NA,133.333333333333,Count (in assayed sample) of biological entity specified elsewhere,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,Count of Biological Entity,http://vocab.nerc.ac.uk/collection/P09/current/OCNT/
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Brachyuran Zoea:zoea,1.37347766130422,Zooplankton taxonomy-related abundance per unit volume of the water column,http://vocab.nerc.ac.uk/collection/P02/current/ZATX/,Number per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Brachyuran Zoea:zoea,66.6666666666667,Count (in assayed sample) of biological entity specified elsewhere,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,Count of Biological Entity,http://vocab.nerc.ac.uk/collection/P09/current/OCNT/
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Calocalanus spp.:NA,10.9878212904338,Zooplankton taxonomy-related abundance per unit volume of the water column,http://vocab.nerc.ac.uk/collection/P02/current/ZATX/,Number per cubic metre,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Calocalanus spp.:NA,533.333333333333,Count (in assayed sample) of biological entity specified elsewhere,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,Count of Biological Entity,http://vocab.nerc.ac.uk/collection/P09/current/OCNT/
